"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 09, 2019","16,121.60","16,048.25","16,203.25","15,999.65","34.84K","0.58%"
"Apr 08, 2019","16,028.25","15,982.85","16,061.30","15,857.15","22.09K","0.66%"
"Apr 05, 2019","15,923.05","15,800.45","15,952.50","15,759.80","23.51K","1.13%"
"Apr 04, 2019","15,744.80","15,947.80","15,954.15","15,691.00","31.36K","-1.37%"
"Apr 03, 2019","15,962.95","15,996.50","16,009.85","15,862.50","25.16K","-0.16%"
"Apr 02, 2019","15,988.40","15,902.90","16,013.25","15,874.65","25.36K","0.93%"
"Apr 01, 2019","15,840.65","15,668.80","15,922.05","15,662.55","27.73K","1.36%"
"Mar 29, 2019","15,628.20","15,681.60","15,729.50","15,578.20","28.70K","0.39%"
"Mar 28, 2019","15,566.75","15,410.35","15,636.50","15,399.45","38.03K","1.48%"
"Mar 27, 2019","15,339.40","15,352.60","15,421.85","15,307.10","27.54K","-0.11%"
"Mar 26, 2019","15,356.60","15,415.50","15,426.25","15,218.25","28.39K","-0.39%"
"Mar 25, 2019","15,416.85","15,579.05","15,579.05","15,388.40","28.31K","-0.86%"
"Mar 22, 2019","15,551.10","15,652.30","15,652.30","15,462.20","32.64K","-0.31%"
"Mar 20, 2019","15,599.25","15,563.95","15,735.25","15,554.45","43.42K","0.67%"
"Mar 19, 2019","15,495.55","15,432.50","15,545.45","15,296.00","33.43K","0.89%"
"Mar 18, 2019","15,359.45","15,614.80","15,661.30","15,304.75","30.22K","-1.20%"
"Mar 15, 2019","15,546.60","15,346.00","15,649.25","15,324.85","55.79K","1.88%"
"Mar 14, 2019","15,260.45","15,422.60","15,437.05","15,202.05","39.55K","-0.54%"
"Mar 13, 2019","15,342.90","15,442.25","15,550.85","15,300.25","49.02K","-0.27%"
"Mar 12, 2019","15,384.55","15,408.85","15,497.20","15,349.80","50.31K","-0.03%"
"Mar 11, 2019","15,388.50","15,432.90","15,500.75","15,349.60","66.03K","-0.13%"
"Mar 08, 2019","15,408.70","15,544.35","15,545.65","15,388.20","47.18K","-1.11%"
"Mar 07, 2019","15,582.10","15,788.15","15,788.15","15,558.95","35.41K","-0.97%"
"Mar 06, 2019","15,735.05","15,732.35","15,814.70","15,681.10","66.06K","0.45%"
"Mar 05, 2019","15,664.10","15,839.20","15,839.20","15,634.55","55.37K","-1.16%"
"Mar 01, 2019","15,848.30","15,778.15","15,871.10","15,752.20","31.82K","0.74%"
"Feb 28, 2019","15,732.00","15,974.10","15,974.10","15,694.85","48.90K","-1.07%"
"Feb 27, 2019","15,902.10","15,983.80","16,007.65","15,803.70","39.73K","-0.55%"
"Feb 26, 2019","15,989.60","15,933.80","16,069.40","15,874.95","33.17K","-0.09%"
"Feb 25, 2019","16,003.70","15,738.95","16,029.95","15,729.25","25.02K","2.03%"
"Feb 22, 2019","15,684.70","15,582.80","15,717.30","15,543.50","26.50K","0.61%"
"Feb 21, 2019","15,588.90","15,609.15","15,691.40","15,492.20","40.92K","-0.13%"
"Feb 20, 2019","15,609.45","15,382.45","15,651.70","15,330.80","33.01K","1.80%"
"Feb 19, 2019","15,333.50","15,644.05","15,651.90","15,287.50","28.73K","-2.08%"
"Feb 18, 2019","15,659.00","15,895.50","15,948.10","15,618.05","30.34K","-0.99%"
"Feb 15, 2019","15,815.60","15,898.40","15,912.45","15,620.45","55.72K","-0.29%"
"Feb 14, 2019","15,861.65","15,992.45","16,002.20","15,828.85","25.02K","-1.12%"
"Feb 13, 2019","16,041.65","15,958.40","16,087.30","15,885.30","28.68K","0.65%"
"Feb 12, 2019","15,938.65","16,093.45","16,094.60","15,788.10","33.48K","-1.00%"
"Feb 11, 2019","16,099.05","16,050.20","16,159.05","16,002.50","22.64K","0.49%"
"Feb 08, 2019","16,019.80","16,001.15","16,145.70","15,979.80","25.55K","-0.41%"
"Feb 07, 2019","16,085.85","16,045.55","16,167.85","16,031.15","30.23K","0.19%"
"Feb 06, 2019","16,055.60","15,857.70","16,090.70","15,835.70","44.34K","2.01%"
"Feb 05, 2019","15,738.70","15,709.00","15,812.15","15,634.95","26.08K","-0.10%"
"Feb 04, 2019","15,754.80","15,727.20","15,819.70","15,635.90","23.26K","0.19%"
"Feb 01, 2019","15,724.30","15,522.55","15,751.75","15,485.70","29.34K","1.45%"
"Jan 31, 2019","15,499.30","15,299.45","15,513.45","15,276.05","47.44K","1.60%"
"Jan 30, 2019","15,255.20","15,304.00","15,381.45","15,192.40","37.42K","0.16%"
"Jan 29, 2019","15,231.30","15,126.15","15,293.00","14,986.70","31.19K","0.74%"
"Jan 28, 2019","15,120.15","15,085.05","15,161.70","15,026.75","35.88K","0.54%"
"Jan 25, 2019","15,039.30","14,952.75","15,161.20","14,927.25","39.35K","0.45%"
"Jan 24, 2019","14,971.90","14,897.45","15,003.55","14,793.25","33.17K","0.56%"
"Jan 23, 2019","14,888.75","14,975.20","15,003.85","14,856.85","37.43K","-0.49%"
"Jan 22, 2019","14,962.60","14,927.15","15,019.60","14,814.95","33.07K","-0.03%"
"Jan 21, 2019","14,966.40","14,920.35","15,100.20","14,850.00","45.51K","0.49%"
"Jan 18, 2019","14,893.00","14,744.05","14,923.75","14,709.45","34.63K","0.63%"
"Jan 17, 2019","14,800.25","14,714.25","14,813.90","14,660.05","38.25K","0.63%"
"Jan 16, 2019","14,707.80","14,688.85","14,732.75","14,610.10","41.89K","0.34%"
"Jan 15, 2019","14,658.50","14,265.70","14,685.50","14,262.40","82.29K","3.06%"
"Jan 14, 2019","14,223.60","14,474.50","14,495.70","14,196.00","41.01K","-0.58%"
"Jan 11, 2019","14,307.10","14,288.95","14,326.90","14,134.25","36.39K","-0.11%"
"Jan 10, 2019","14,323.25","14,388.85","14,393.45","14,272.25","25.39K","-0.02%"
"Jan 09, 2019","14,326.10","14,417.20","14,495.70","14,162.20","39.78K","0.28%"
"Jan 08, 2019","14,285.70","14,344.60","14,357.75","14,238.20","30.28K","-0.04%"
"Jan 07, 2019","14,291.50","14,238.05","14,316.00","14,204.65","23.05K","1.03%"
"Jan 04, 2019","14,146.15","14,332.65","14,359.20","13,958.85","32.61K","-1.23%"
"Jan 03, 2019","14,322.15","14,479.75","14,542.30","14,276.50","25.16K","-0.86%"
"Jan 02, 2019","14,447.10","14,467.40","14,593.85","14,371.00","27.02K","-0.03%"
"Jan 01, 2019","14,450.90","14,426.45","14,480.55","14,357.05","14.01K","0.07%"
"Dec 31, 2018","14,440.30","14,458.50","14,481.40","14,394.55","18.44K","0.38%"
"Dec 28, 2018","14,385.80","14,409.60","14,451.70","14,368.70","24.56K","0.22%"
"Dec 27, 2018","14,354.50","14,300.95","14,460.70","14,273.85","46.97K","1.38%"
"Dec 26, 2018","14,158.90","14,229.20","14,229.20","14,018.40","33.37K","-0.62%"
"Dec 24, 2018","14,247.75","14,296.80","14,371.75","14,197.10","30.56K","0.28%"
"Dec 21, 2018","14,207.85","14,493.75","14,505.50","14,171.95","61.83K","-2.30%"
"Dec 20, 2018","14,542.15","14,468.40","14,621.80","14,461.30","35.74K","-0.34%"
"Dec 19, 2018","14,591.80","14,686.05","14,698.90","14,463.75","36.21K","-0.94%"
"Dec 18, 2018","14,730.90","14,776.45","14,809.55","14,662.10","46.94K","-0.96%"
"Dec 17, 2018","14,873.05","14,931.05","14,931.05","14,801.15","36.34K","0.15%"
"Dec 14, 2018","14,851.40","14,810.40","14,913.80","14,741.70","41.39K","0.07%"
"Dec 13, 2018","14,841.00","14,782.35","14,908.90","14,652.00","62.80K","0.70%"
"Dec 12, 2018","14,738.55","14,640.15","14,756.50","14,521.20","46.04K","1.09%"
"Dec 11, 2018","14,579.60","14,385.35","14,684.45","14,307.30","48.45K","1.11%"
"Dec 10, 2018","14,419.20","14,486.00","14,723.70","14,369.50","39.40K","-1.66%"
"Dec 07, 2018","14,662.90","14,686.80","14,700.05","14,461.95","39.88K","-0.21%"
"Dec 06, 2018","14,693.75","14,936.60","15,064.25","14,664.30","36.70K","-2.13%"
"Dec 05, 2018","15,012.95","14,932.45","15,062.40","14,788.75","38.99K","0.09%"
"Dec 04, 2018","14,999.90","14,757.45","15,015.10","14,728.20","50.81K","1.76%"
"Dec 03, 2018","14,740.40","14,728.45","14,790.80","14,630.75","45.64K","0.70%"
"Nov 30, 2018","14,638.05","14,494.70","14,710.80","14,494.60","50.35K","1.19%"
"Nov 29, 2018","14,465.30","14,726.75","14,732.65","14,433.05","63.01K","-1.15%"
"Nov 28, 2018","14,632.90","14,266.75","14,658.90","14,250.90","57.82K","2.86%"
"Nov 27, 2018","14,225.35","14,057.90","14,265.25","14,000.40","37.83K","1.43%"
"Nov 26, 2018","14,025.40","13,836.95","14,083.70","13,581.35","47.72K","1.37%"
"Nov 22, 2018","13,835.70","13,955.00","14,109.45","13,819.70","37.09K","-0.31%"
"Nov 21, 2018","13,879.15","14,244.75","14,245.05","13,827.15","46.55K","-2.84%"
"Nov 20, 2018","14,285.10","14,575.25","14,575.25","14,262.30","45.49K","-2.16%"
"Nov 19, 2018","14,599.80","14,544.80","14,618.25","14,433.20","53.94K","0.88%"
"Nov 16, 2018","14,473.15","14,426.70","14,504.50","14,356.65","58.65K","0.83%"
"Nov 15, 2018","14,354.15","14,315.45","14,573.10","14,264.60","43.78K","0.11%"
"Nov 14, 2018","14,338.50","14,662.30","14,662.80","14,236.70","63.48K","-2.45%"
"Nov 13, 2018","14,698.20","14,637.25","14,780.00","14,561.55","48.66K","0.33%"
"Nov 12, 2018","14,650.50","14,604.95","14,821.55","14,565.05","98.15K","0.67%"
"Nov 09, 2018","14,553.25","14,793.75","14,796.90","14,483.35","112.06K","-0.88%"
"Nov 07, 2018","14,683.10","14,654.25","14,698.95","14,645.05","1.83K","0.73%"
"Nov 06, 2018","14,577.30","14,499.80","14,660.15","14,468.25","43.54K","0.73%"
"Nov 05, 2018","14,471.75","14,377.50","14,534.05","14,345.25","48.19K","0.52%"
"Nov 02, 2018","14,396.70","14,639.05","14,780.10","14,356.10","70.44K","-1.54%"
"Nov 01, 2018","14,622.00","14,991.60","14,991.60","14,541.20","41.08K","-2.13%"
"Oct 31, 2018","14,940.10","14,428.70","14,994.85","14,376.75","56.39K","4.07%"
"Oct 30, 2018","14,355.85","14,088.25","14,437.60","14,028.80","57.56K","1.58%"
"Oct 29, 2018","14,132.65","13,837.65","14,188.00","13,696.50","31.65K","2.42%"
"Oct 26, 2018","13,798.60","14,057.05","14,070.05","13,769.85","38.51K","-1.93%"
"Oct 25, 2018","14,070.80","13,894.80","14,179.70","13,863.90","62.73K","0.15%"
"Oct 24, 2018","14,049.15","14,125.50","14,183.55","13,826.30","36.52K","0.25%"
"Oct 23, 2018","14,014.70","14,318.95","14,406.75","13,977.65","56.65K","-2.82%"
"Oct 22, 2018","14,421.45","14,527.55","14,527.55","14,299.15","73.14K","-0.38%"
"Oct 19, 2018","14,476.85","14,776.45","14,776.45","14,421.65","50.67K","-3.16%"
"Oct 17, 2018","14,949.60","15,031.05","15,190.65","14,903.50","50.08K","0.42%"
"Oct 16, 2018","14,887.35","14,876.05","14,975.55","14,743.90","32.51K","0.61%"
"Oct 15, 2018","14,797.20","14,639.50","14,846.95","14,564.30","31.26K","1.77%"
"Oct 12, 2018","14,539.20","14,701.85","14,721.95","14,408.45","43.23K","-0.98%"
"Oct 11, 2018","14,683.00","14,721.10","14,890.65","14,554.25","45.39K","-3.04%"
"Oct 10, 2018","15,143.20","15,356.30","15,380.85","15,053.30","32.96K","-1.47%"
"Oct 09, 2018","15,369.80","15,305.15","15,429.95","15,137.75","35.16K","0.42%"
"Oct 08, 2018","15,305.20","15,538.20","15,644.20","15,198.25","52.53K","-1.84%"
